latitud,longitud,code,id,state_id,name
29.070308,-100.674228,5014,42000000-0000-0000-0000-000000000050,40000000-0000-0000-0000-000000000005,Jimenez
27.606506,-100.72712,5015,42000000-0000-0000-0000-000000000051,40000000-0000-0000-0000-000000000005,Juarez
27.048494,-101.793599,5016,42000000-0000-0000-0000-000000000052,40000000-0000-0000-0000-000000000005,Lamadrid
25.528136,-103.230384,5017,42000000-0000-0000-0000-000000000053,40000000-0000-0000-0000-000000000005,Matamoros
26.901242,-101.417224,5018,42000000-0000-0000-0000-000000000054,40000000-0000-0000-0000-000000000005,Monclova
28.410104,-100.886631,5019,42000000-0000-0000-0000-000000000055,40000000-0000-0000-0000-000000000005,Morelos
27.87755,-101.516518,5020,42000000-0000-0000-0000-000000000056,40000000-0000-0000-0000-000000000005,Muzquiz
27.029031,-101.592023,5021,42000000-0000-0000-0000-000000000057,40000000-0000-0000-0000-000000000005,Nadadores
28.421875,-100.767554,5022,42000000-0000-0000-0000-000000000058,40000000-0000-0000-0000-000000000005,Nava
27.311215,-102.397405,5023,42000000-0000-0000-0000-000000000059,40000000-0000-0000-0000-000000000005,Ocampo
25.437381,-102.184169,5024,42000000-0000-0000-0000-000000000060,40000000-0000-0000-0000-000000000005,Parras
28.708093,-100.528441,5025,42000000-0000-0000-0000-000000000061,40000000-0000-0000-0000-000000000005,Piedras Negras
27.428978,-100.987233,5026,42000000-0000-0000-0000-000000000062,40000000-0000-0000-0000-000000000005,Progreso
25.543234,-100.950782,5027,42000000-0000-0000-0000-000000000063,40000000-0000-0000-0000-000000000005,Ramos Arizpe
27.848888,-101.119989,5028,42000000-0000-0000-0000-000000000064,40000000-0000-0000-0000-000000000005,Sabinas
27.004439,-101.725036,5029,42000000-0000-0000-0000-000000000065,40000000-0000-0000-0000-000000000005,Sacramento
25.421665,-100.999721,5030,42000000-0000-0000-0000-000000000066,40000000-0000-0000-0000-000000000005,Saltillo
27.060257,-101.550029,5031,42000000-0000-0000-0000-000000000067,40000000-0000-0000-0000-000000000005,San Buenaventura
27.933903,-101.216978,5032,42000000-0000-0000-0000-000000000068,40000000-0000-0000-0000-000000000005,San Juan de Sabinas
25.757778,-102.983157,5033,42000000-0000-0000-0000-000000000069,40000000-0000-0000-0000-000000000005,San Pedro
27.286877,-103.701457,5034,42000000-0000-0000-0000-000000000070,40000000-0000-0000-0000-000000000005,Sierra Mojada
25.541753,-103.453061,5035,42000000-0000-0000-0000-000000000071,40000000-0000-0000-0000-000000000005,Torreon
25.343605,-102.80635,5036,42000000-0000-0000-0000-000000000072,40000000-0000-0000-0000-000000000005,Viesca
28.220498,-100.725155,5037,42000000-0000-0000-0000-000000000073,40000000-0000-0000-0000-000000000005,Villa Union
28.487043,-100.917622,5038,42000000-0000-0000-0000-000000000074,40000000-0000-0000-0000-000000000005,Zaragoza
18.937073,-103.964997,6001,42000000-0000-0000-0000-000000000075,40000000-0000-0000-0000-000000000006,Armeria
19.242922,-103.728119,6002,42000000-0000-0000-0000-000000000076,40000000-0000-0000-0000-000000000006,Colima
19.323199,-103.758801,6003,42000000-0000-0000-0000-000000000077,40000000-0000-0000-0000-000000000006,Comala
19.200979,-103.810541,6004,42000000-0000-0000-0000-000000000078,40000000-0000-0000-0000-000000000006,Coquimatlan
19.328774,-103.601861,6005,42000000-0000-0000-0000-000000000079,40000000-0000-0000-0000-000000000006,Cuauhtemoc
19.001184,-103.738593,6006,42000000-0000-0000-0000-000000000080,40000000-0000-0000-0000-000000000006,Ixtlahuacan
19.053206,-104.316381,6007,42000000-0000-0000-0000-000000000081,40000000-0000-0000-0000-000000000006,Manzanillo
19.38611,-104.049637,6008,42000000-0000-0000-0000-000000000082,40000000-0000-0000-0000-000000000006,Minatitlan
18.910503,-103.873548,6009,42000000-0000-0000-0000-000000000083,40000000-0000-0000-0000-000000000006,Tecoman
19.264776,-103.736759,6010,42000000-0000-0000-0000-000000000084,40000000-0000-0000-0000-000000000006,Villa de Alvarez
15.340965,-92.674617,7001,42000000-0000-0000-0000-000000000085,40000000-0000-0000-0000-000000000007,Acacoyagua
16.551674,-92.807508,7002,42000000-0000-0000-0000-000000000086,40000000-0000-0000-0000-000000000007,Acala
15.282838,-92.689132,7003,42000000-0000-0000-0000-000000000087,40000000-0000-0000-0000-000000000007,Acapetahua
16.73592,-92.038594,7004,42000000-0000-0000-0000-000000000088,40000000-0000-0000-0000-000000000007,Altamirano
17.372848,-92.819123,7005,42000000-0000-0000-0000-000000000089,40000000-0000-0000-0000-000000000007,Amatan
