scope,municipality_id,municipio_nombre,disease_key,disease_name,confirmation_status,case_count,started_at,ended_at,status,source_datasets,latest_update
MUNICIPALITY,42000000-0000-0000-0000-000000000286,Tlalpan,COVID-19,COVID-19,SUSPECTED,201,2026-06-03 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000286,Tlalpan,INFLUENZA,Influenza,CONFIRMED,2,2026-07-20 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000286,Tlalpan,INFLUENZA,Influenza,SUSPECTED,201,2026-06-03 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001766,Tlaltenango,COVID-19,COVID-19,CONFIRMED,2,2026-07-29 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002468,Tlaltenango de Sanchez Roman,COVID-19,COVID-19,SUSPECTED,3,2026-06-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002468,Tlaltenango de Sanchez Roman,INFLUENZA,Influenza,SUSPECTED,3,2026-06-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002126,Tlaltetela,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000002126,Tlaltetela,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000932,Tlaltizapan de Zapata,COVID-19,COVID-19,SUSPECTED,2,2026-07-14 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000932,Tlaltizapan de Zapata,INFLUENZA,Influenza,SUSPECTED,2,2026-07-14 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000932,Tlaltizapan de Zapata,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000932,Tlaltizapan de Zapata,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000534,Tlanchinol,COVID-19,COVID-19,CONFIRMED,1,2026-07-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
